POI코드,지역명,동코드,자치구,행정동
POI006,종로·청계 관광특구,1111061500,종로구,종로1·2·3·4가동
POI007,홍대 관광특구,1144066000,마포구,서교동
POI008,경복궁,1111051500,종로구,청운효자동
POI009,광화문·덕수궁,1111051500,종로구,청운효자동
POI010,보신각,1111061500,종로구,종로1·2·3·4가동
POI011,서울 암사동 유적,1174058000,강동구,암사2동
POI012,창덕궁·종묘,1111061500,종로구,종로1·2·3·4가동
POI013,가산디지털단지역,1154551000,금천구,가산동
POI014,강남역,1168064000,강남구,역삼1동
POI015,건대입구역,1121571000,광진구,화양동
POI016,고덕역,1174054000,강동구,명일2동
POI017,고속터미널역,1165058100,서초구,반포4동
POI018,교대역,1165051000,서초구,서초1동
POI019,구로디지털단지역,1159067000,동작구,신대방1동
POI020,구로역,1153053000,구로구,구로2동
POI021,군자역,1121574000,광진구,중곡1동
POI023,대림역,1153054000,구로구,구로3동
POI024,동대문역,1111067000,종로구,창신1동
POI025,뚝섬역,1120066000,성동구,성수1가2동
POI026,미아사거리역,1130554500,강북구,송중동
POI055,홍대입구역(2호선),1144066000,마포구,서교동
POI088,광화문광장,1111051500,종로구,청운효자동
POI119,잠실역,1171068000,송파구,잠실3동
