코드,지역명,혼잡도,인구min,인구max,비거주율,위도,경도
POI006,종로·청계 관광특구,여유,18000,20000,60.4,37.5702856,126.9903626
POI007,홍대 관광특구,여유,56000,58000,59.0,37.5574135,126.9238
POI008,경복궁,여유,500,600,45.6,37.579754,126.9766818
POI009,광화문·덕수궁,여유,10000,12000,71.9,37.5759194,126.9768
POI010,보신각,여유,5500,6000,69.4,37.5698518,126.9836102
POI011,서울 암사동 유적,여유,200,300,29.2,37.5610203,127.1306288
POI012,창덕궁·종묘,여유,5000,5500,65.7,37.5823872,126.9917013
POI013,가산디지털단지역,여유,10000,12000,79.2,37.480819,126.8816358
POI014,강남역,여유,42000,44000,58.6,37.5002304,127.0268054
POI015,건대입구역,여유,26000,28000,47.1,37.54088,127.06812
POI016,고덕역,여유,2500,3000,72.6,37.5550721,127.1550065
POI017,고속터미널역,여유,5500,6000,89.3,37.5050827,127.0049777
POI018,교대역,여유,12000,14000,42.0,37.494178,127.015909
POI019,구로디지털단지역,여유,9000,9500,73.4,37.4853417,126.9068128
POI020,구로역,여유,1500,2000,74.2,37.5000903,126.8829924
POI021,군자역,여유,6500,7000,70.4,37.558149,127.077839
POI023,대림역,보통,16000,18000,19.3,37.4908703,126.8936859
POI024,동대문역,여유,4000,4500,90.9,37.5718616,127.0114887
POI025,뚝섬역,여유,5500,6000,40.6,37.5475031,127.0461973
POI026,미아사거리역,여유,7000,7500,79.2,37.61175,127.03044
POI055,홍대입구역(2호선),여유,12000,14000,59.8,37.5574135,126.9238
POI088,광화문광장,여유,3000,3500,75.8,37.5759194,126.9768
POI119,잠실역,여유,7500,8000,88.3,37.5127453,127.0973
